tweet_id,retweeter,tweeter
7.45872E+17,Dwalingen,Dwalingen
7.45872E+17,Dwalingen,Dwalingen
7.45872E+17,Dwalingen,Dwalingen
7.45872E+17,Dwalingen,Dwalingen
7.45872E+17,Dwalingen,Dwalingen
7.45872E+17,Dwalingen,Dwalingen
7.45872E+17,Dwalingen,Dwalingen
7.45872E+17,sturdyAlex,sturdyAlex
7.45872E+17,Dwalingen,NickPringle6
7.45872E+17,Dwalingen,AcemTem
7.45872E+17,StrongerInPress,lilyallen
7.45872E+17,Dwalingen,SnouckHurgronje
7.45873E+17,StrongerIn,davidwalliams
7.45873E+17,Dwalingen,JohnCaveAusten
7.45873E+17,sturdyAlex,EmmaDixon_Green
7.45873E+17,Dwalingen,UpNorthandGRIM
7.45874E+17,LeaveEUOfficial,DavidJo52951945
7.45874E+17,StrongerInPress,birminghammail
7.45874E+17,Dwalingen,rose20622
7.45874E+17,Mike_Fabricant,Daily_Ref
7.45874E+17,Dwalingen,Dwalingen
7.45874E+17,Mike_Fabricant,Daily_Ref
7.45874E+17,TelePolitics,Telegraph
7.45874E+17,Telegraph,Telegraph
7.45874E+17,vote_leave,DavidTCDavies
7.45874E+17,Telegraph,Telegraph
7.45874E+17,vote_leave,Mike_Fabricant
7.45875E+17,StrongerInPress,ben4bath
7.45875E+17,Australiaunwra6,HotMarijke
7.45875E+17,Australiaunwra6,MimodiCreta
7.45875E+17,theordinaryman2,RaheemKassam
7.45875E+17,Australiaunwra6,stingray92
7.45875E+17,Australiaunwra6,lameduck1960
7.45875E+17,LeaveEUOfficial,littleboy81
7.45875E+17,Australiaunwra6,PamsTurkeys
7.45875E+17,Australiaunwra6,femiokes
7.45875E+17,vote_leave,Vote_LeaveMedia
7.45875E+17,vote_leave,lucyallan
7.45875E+17,vote_leave,Andrew4Pendle
7.45875E+17,Australiaunwra6,Australiaunwra6
7.45875E+17,vote_leave,patel4witham
7.45875E+17,vote_leave,JasonMcCartney
7.45875E+17,vote_leave,BradenDavy
7.45876E+17,LeaveEUOfficial,LordFawlty
7.45876E+17,LeaveEUOfficial,bruisedarcade
7.45876E+17,LeaveEUOfficial,goodyuk
7.45876E+17,Dwalingen,burdon57
7.45876E+17,Dwalingen,DemoGrazzi
7.45876E+17,Dwalingen,Dwalingen
7.45876E+17,Dwalingen,Dwalingen
7.45876E+17,Dwalingen,Dwalingen
7.45876E+17,Dwalingen,Dwalingen
7.45876E+17,David_Cameron,sajidjavid
7.45876E+17,David_Cameron,edvaizey
7.45876E+17,David_Cameron,GregHands
7.45877E+17,Dwalingen,TJEmin96
7.45877E+17,Dwalingen,ooohouchburn
7.45877E+17,Dwalingen,LouiseMensch
7.45877E+17,Dwalingen,Geezajay2013
7.45877E+17,vote_leave,Ian_Fry
7.45877E+17,StrongerIn,JKCorden
