Tweet ID,Retweeter,Tweeter
7.46003E+17,LeaveEUOfficial,Of_Mice_And_Ben
7.46005E+17,vote_leave,BenJamminWalker
7.46005E+17,vote_leave,darrengrimes_
7.46005E+17,vote_leave,darrengrimes_
7.46006E+17,vote_leave,vote_leave
7.46006E+17,vote_leave,SteveBakerHW
7.46006E+17,vote_leave,NadineDorriesMP
7.46007E+17,vote_leave,_hanimustafa
7.46007E+17,vote_leave,Mike_Fabricant
7.46007E+17,vote_leave,BrexitInJune
7.46007E+17,vote_leave,lawyers4animals
7.46007E+17,vote_leave,vote_leave
7.46007E+17,StrongerIn,TanyaBurr
7.46008E+17,vote_leave,lawyers4animals
7.46008E+17,vote_leave,SuzanneEvans1
7.46008E+17,vote_leave,PrescottBeth
7.46009E+17,vote_leave,ATForshaw
7.46009E+17,StrongerIn,nicolablackwood
7.46009E+17,StrongerIn,SadiqKhan
7.4601E+17,vote_leave,adamhiggs5
7.46011E+17,vote_leave,Oli_Coulson
7.46012E+17,vote_leave,MrSimonDudley
7.46012E+17,vote_leave,chhcalling
7.46012E+17,vote_leave,andrealeadsom
7.46013E+17,StrongerIn,lucianaberger
7.46013E+17,StrongerIn,TheGreenParty
7.46013E+17,StrongerIn,junesarpong
7.46013E+17,vote_leave,toadmeister
7.46015E+17,StrongerIn,jasonsfolly
7.46015E+17,vote_leave,Tell_Karen
7.46015E+17,StrongerIn,AP_McCoy
7.46016E+17,vote_leave,NadineDorriesMP
7.46016E+17,StrongerIn,EmmaReynoldsMP
7.46016E+17,vote_leave,SpaceCharlieUK
7.46017E+17,vote_leave,DonnyMurray
7.46019E+17,vote_leave,cmackinlay
7.46019E+17,vote_leave,VoteLeaveWM
7.4602E+17,vote_leave,annietrev
7.46022E+17,LeaveEUOfficial,LiberalLeave
7.46022E+17,LeaveEUOfficial,John_mills_jml
7.46023E+17,vote_leave,W4VoteLeave
7.46026E+17,StrongerIn,StrongerInPress
7.46027E+17,vote_leave,davidroachcouk
7.46028E+17,vote_leave,AmandeepBhogal
7.46028E+17,vote_leave,DianeDoddsMEP
7.4603E+17,vote_leave,HenrySmithMP
7.4603E+17,StrongerIn,The_TUC
7.4603E+17,vote_leave,jamieamartin1
7.4603E+17,vote_leave,BrexitInJune
7.46031E+17,StrongerIn,TheGreenParty
7.46031E+17,StrongerIn,LibDems
7.46031E+17,LeaveEUOfficial,Y_Eurosceptics
7.46031E+17,vote_leave,andrealeadsom
7.46031E+17,vote_leave,MrRBourne
7.46031E+17,vote_leave,suttonnick
7.46032E+17,vote_leave,Alexicon83
7.46032E+17,LeaveEUOfficial,suttonnick
7.46032E+17,vote_leave,VoteLeaveSA
7.46032E+17,vote_leave,Vote_LeaveMedia
7.46032E+17,vote_leave,clewsyworld
7.46033E+17,vote_leave,DVATW
7.46033E+17,vote_leave,calvinrobinson
7.46034E+17,vote_leave,akhanmep
7.46034E+17,vote_leave,LeeWatersUKIP
7.46035E+17,StrongerIn,akhanmep
7.46035E+17,StrongerIn,UKLabourIN
7.46035E+17,vote_leave,CherylGillanMP
